company_name,ratings,reviews,company_type,Employee,Headquarters
TCS,3.8,76.4k,IT Services & Consulting,1 Lakh+ Employees,Mumbai +350 more
Accenture,4.0,48.3k,IT Services & Consulting,1 Lakh+ Employees,Dublin +182 more
Cognizant,3.9,43.6k,IT Services & Consulting,1 Lakh+ Employees,Teaneck. New Jersey. +169 more
Wipro,3.8,41k,IT Services & Consulting,1 Lakh+ Employees,Bangalore/Bengaluru +278 more
Capgemini,3.8,35.5k,IT Services & Consulting,1 Lakh+ Employees,Paris +144 more
HDFC Bank,4.0,35.1k,Banking,1 Lakh+ Employees,Mumbai +1561 more
ICICI Bank,4.0,34.7k,Banking,1 Lakh+ Employees,Mumbai +1296 more
Infosys,3.8,33.3k,IT Services & Consulting,1 Lakh+ Employees,Bengaluru/Bangalore +182 more
HCLTech,3.7,29.8k,IT Services & Consulting,1 Lakh+ Employees,Noida +183 more
Tech Mahindra,3.7,28.7k,IT Services & Consulting,1 Lakh+ Employees,Pune +273 more
Genpact,3.9,27.1k,IT Services & Consulting,1 Lakh+ Employees,New York +112 more
Axis Bank,3.9,22.7k,Banking,50k-1 Lakh Employees,Mumbai +1318 more
Teleperformance,3.7,23.4k,BPO,50k-1 Lakh Employees,Paris +191 more
Concentrix Corporation,3.9,22.5k,BPO,50k-1 Lakh Employees,Fremont +119 more
Jio,4.0,21.2k,Telecom,50k-1 Lakh Employees,Navi Mumbai +1177 more
Amazon,4.1,21.5k,Internet,1 Lakh+ Employees,Seattle +456 more
IBM,4.1,20.4k,IT Services & Consulting,1 Lakh+ Employees,Armonk +149 more
Reliance Retail,4.0,19.5k,Retail,1 Lakh+ Employees,Navi Mumbai +1013 more
HDB Financial Services,4.0,18.7k,NBFC,1 Lakh+ Employees,Ahmedabad +962 more
Larsen & Toubro Limited,4.1,17.2k,Engineering & Construction,10k-50k Employees,Mumbai +629 more
Vodafone Idea,4.2,15.6k,Telecom,5k-10k Employees,Mumbai +649 more
BYJU'S,3.1,15.3k,EdTech,10k-50k Employees,Bangalore +307 more
Kotak Mahindra Bank,3.9,14.8k,Banking,50k-1 Lakh Employees,Mumbai +573 more
Deloitte,3.9,14.6k,Management Consulting,1 Lakh+ Employees,London +152 more
